tweet,created_at,tokens
kang dedi mulyadi lihat dear hongrang salah fokus cinematographynya gilak ostnya bagus finish berani lihat abis feeling jdi another ktrauma,Mon May 19 16:54:51 +0000 2025,"['kang', 'dedi', 'mulyadi', 'lihat', 'dear', 'hongrang', 'salah', 'fokus', 'cinematographynya', 'gilak', 'ostnya', 'bagus', 'finish', 'berani', 'lihat', 'abis', 'feeling', 'jdi', 'another', 'ktrauma']"
kang dedi mulyadi resident playbook dowon yiyong mata nya ilang,Mon May 12 12:47:18 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'dowon', 'yiyong', 'mata', 'nya', 'ilang']"
kang dedi mulyadi hiboyz food truck fanclub resmi nya hello girl ngirim fansnya orang kayakaya tuh orang ngirim foodtruck,Wed May 21 00:24:09 +0000 2025,"['kang', 'dedi', 'mulyadi', 'hiboyz', 'food', 'truck', 'fanclub', 'resmi', 'nya', 'hello', 'girl', 'ngirim', 'fansnya', 'orang', 'kayakaya', 'tuh', 'orang', 'ngirim', 'foodtruck']"
kang dedi mulyadi tastefully yours selamat siang kimbab couple bayibayi kimbab nih absen,Wed May 21 05:35:43 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'selamat', 'siang', 'kimbab', 'couple', 'bayibayi', 'kimbab', 'nih', 'absen']"
kang dedi mulyadi remaja tawur masuk barak pramono biar tawur bina taman pustaka khofifah,Thu May 15 11:30:45 +0000 2025,"['kang', 'dedi', 'mulyadi', 'remaja', 'tawur', 'masuk', 'barak', 'pramono', 'biar', 'tawur', 'bina', 'taman', 'pustaka', 'khofifah']"
kang dedi mulyadi kelas kirim barak,Mon May 19 14:51:47 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kelas', 'kirim', 'barak']"
gua kuliah kerja main jakarta gua tolong kagum banget bijak transumnya abw gua ngerasa aneh sih orang kagum kang dedi mulyadi vasektomi barak militerisme dasar jawa barat nyentuh akar masalah,Thu May 15 13:14:10 +0000 2025,"['gua', 'kuliah', 'kerja', 'main', 'jakarta', 'gua', 'tolong', 'kagum', 'banget', 'bijak', 'transumnya', 'abw', 'gua', 'ngerasa', 'aneh', 'sih', 'orang', 'kagum', 'kang', 'dedi', 'mulyadi', 'vasektomi', 'barak', 'militerisme', 'dasar', 'jawa', 'barat', 'nyentuh', 'akar', 'masalah']"
kang dedi mulyadi marahmarah preman malak kang dedi mulyadi marahmarah jual ciu kang dedi mulyadi marahmarah anak tawur kang dedi mulyadi marahmarah bank emok nunggu kang dedi mulyadi marahmarah bandar judi judi online offline video sunyi senyap takut mafia,Tue May 13 16:44:31 +0000 2025,"['kang', 'dedi', 'mulyadi', 'marahmarah', 'preman', 'malak', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'jual', 'ciu', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'anak', 'tawur', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'bank', 'emok', 'nunggu', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'bandar', 'judi', 'judi', 'online', 'offline', 'video', 'sunyi', 'senyap', 'takut', 'mafia']"
anak nakal tangkap kriminal dibentakin ancam serah pd ortu rumah digebukin anak liar kang dedi mulyadi kirim anak nakal barak militer dinyinyirin cela lihat hasil ortu bangga air mata jatuh haru patut role model,Tue May 20 08:05:03 +0000 2025,"['anak', 'nakal', 'tangkap', 'kriminal', 'dibentakin', 'ancam', 'serah', 'pd', 'ortu', 'rumah', 'digebukin', 'anak', 'liar', 'kang', 'dedi', 'mulyadi', 'kirim', 'anak', 'nakal', 'barak', 'militer', 'dinyinyirin', 'cela', 'lihat', 'hasil', 'ortu', 'bangga', 'air', 'mata', 'jatuh', 'haru', 'patut', 'role', 'model']"
bahas kang dedi mulyadi tiktok,Sat May 17 05:35:45 +0000 2025,"['bahas', 'kang', 'dedi', 'mulyadi', 'tiktok']"
